pi,amnt,payment,merch
3,101.92,1,12
1,600,1,14
1,10,1,16
4,70,1,1
1,80,1,2
6,30,1,15
3,20,1,6
3,10.97,1,4
7,48,1,10
3,32,1,16
4,84.78,1,5
4,100,1,10
0,194,1,8
4,61,1,8
4,49.99,1,8
3,30241,1,11
3,52.53,1,1
3,551.19,1,5
NA,14700,0,NA
6,477,1,15
7,380,1,15
4,3.17,1,2
1,20,1,17
4,125.56,1,8
3,3.68,1,4
5,0.52,1,21
3,63.65,1,1
4,15.1,1,1
4,23.62,1,1
3,33.36,1,5
3,33.54,1,1
7,500,1,15
NA,30241,0,NA
7,30,1,15
6,446.89,1,15
1,1,1,4
1,9.13,1,4
7,329.19,1,10
3,10.02,1,2
5,35.65,1,2
7,45,1,18
4,43,1,1
0,3.69,1,4
4,18.74,1,1
3,65.26,1,5
3,9.45,1,9
3,43.18,1,1
3,15.66,1,19
3,59.57,1,5
5,54,1,10
3,53.7,1,5
3,35.5,1,2
4,1.74,1,4
5,18,1,1
3,17.76,1,4
1,30,1,1
4,54.57,1,5
3,35.1,1,5
3,53,1,2
1,10,1,16
3,8.98,1,1
3,500,1,17
3,400,1,17
4,9.57,1,1
3,46.38,1,2
3,12.83,1,20
3,12.54,1,4
4,16.92,1,4
1,133,1,1
6,91.1,1,5
1,4.84,1,5
3,136,1,1
6,214.24,1,5
4,168.66,1,1
3,111.55,1,1
1,23,1,4
1,78,1,4
3,10.69,1,5
1,4.83,1,4
4,24,1,2
4,7,1,4
4,23.29,1,5
1,2,1,18
3,55,1,5
4,15.86,1,1
4,95,1,1
3,924,1,18
0,50.22,1,5
NA,90,0,NA
2,25,1,17
3,31,1,5
3,85,1,5
4,121.63,1,15
3,53.48,1,1
4,6.3,1,1
3,4.49,1,5
4,22,1,1
1,30,1,16
1,5,1,4
3,5.95,1,4
6,50,1,15
4,32.87,1,1
1,1,1,16
3,25.69,1,5
4,110,1,2
3,182.45,1,1
3,2360.62,1,15
0,45,1,5
3,7.95,1,5
5,0.52,1,21
7,670,1,15
5,30,1,1
3,48.68,1,2
13,180,1,15
4,72.73,1,3
7,183,1,10
3,39,1,5
3,31.19,1,4
1,76,1,7
3,30.17,1,3
4,31,1,4
3,12.86,1,1
3,81.75,1,3
3,43.25,1,2
3,29.46,1,5
7,29,1,15
4,42.31,1,5
1,120,1,4
NA,10,0,NA
4,14.99,1,7
4,13.25,1,4
3,73.06,1,5
3,1135.92,1,9
3,16,1,10
2,100,1,17
1,25,1,3
1,5,1,3
1,100,1,16
3,15.13,1,5
4,8.38,1,4
3,271,1,9
3,16.11,1,5
4,70.75,1,1
3,49,1,2
1,60,1,8
1,20,1,3
NA,35,0,NA
5,46.37,1,1
4,40,1,1
1,38,1,4
4,700,1,14
4,65.74,1,1
7,41.19,1,17
4,9.99,1,10
7,300,1,12
6,578,1,15
3,5.57,1,5
1,27,1,1
11,1500,1,14
3,28,1,3
1,20,1,5
4,100,1,20
4,5.95,1,4
3,24.5,1,5
0,210,1,15
4,245,1,5
1,1.75,1,17
3,52.88,1,5
4,242,1,3
7,400,1,10
7,168,1,8
2,379.86,1,6
6,53.99,1,6
7,318.46,1,10
7,200,1,15
3,200,1,15
3,20,1,18
6,85,1,15
6,127.4,1,15
1,60,1,1
4,25,1,20
1,20,1,1
4,97,1,15
1,10,1,4
4,521,1,15
4,72,1,15
4,120,1,15
1,10,1,4
3,29.88,1,5
3,500,1,17
4,24,1,4
NA,203,0,NA
3,18.89,1,1
4,2,1,17
4,172.77,1,5
4,144,1,5
7,500,1,15
7,30,1,15
7,100,1,15
7,24.58,1,8
7,300,1,15
7,650,1,15
7,133.83,1,10
3,16.19,1,5
3,36.12,1,5
4,350,1,15
1,3.16,1,2
6,135,1,16
6,61.17,1,5
4,800,1,16
4,125.97,1,6
6,139,1,20
NA,2007.49,0,NA
3,18.24,1,2
7,879,1,15
4,44.2,1,4
NA,0,0,NA
3,3.25,1,19
3,3.75,1,21
7,125,1,15
7,77,1,15
3,97.68,1,7
7,1200,1,15
11,100,1,16
3,34.75,1,3
4,25,1,20
6,939.59,1,15
7,2636.63,1,15
1,10.41,1,4
1,645,1,16
3,61.58,1,5
3,10.15,1,4
4,21.58,1,4
4,5.62,1,5
1,3,1,6
3,58,1,7
5,0.52,1,21
7,1400,1,15
3,11.9,1,4
